lat, lon, rep_date, source, sensor, fwi, fuel, ros, sfc, tfc, bfc, hfi, estarea
55.2,-102.25,2017-09-12 01:19:00,NOAA,AVHRR,13.143,C2,3.30569,3.05383,3.38983,3.60383,3362,42.33
55.22,-102.12,2017-09-12 01:19:00,NOAA,AVHRR,11.801,C2,2.85956,2.94589,3.22589,3.49118,2767,42.33
55.18,-102.24,2017-09-12 01:19:00,NOAA,AVHRR,13.258,C2,3.37771,3.04132,3.38532,3.57381,3430,42.33
55.19,-102.21,2017-09-12 01:19:00,NOAA,AVHRR,12.868,C2,3.23585,3.0173,3.3453,3.57236,3247,42.33
54.91,-102.44,2017-09-12 01:19:00,NOAA,AVHRR,19.275,C2,5.79938,3.38847,3.93247,3.79886,6842,42.33
54.77,-102.61,2017-09-12 01:19:00,NOAA,AVHRR,22.49,C3,1.45917,3.26638,3.26638,3.90446,1430,42.33
54.86,-102.46,2017-09-12 01:19:00,NOAA,AVHRR,19.919,D1,0.207705,1.25535,1.25535,3.79899,78,32.47
54.81,-102.54,2017-09-12 01:19:00,NOAA,AVHRR,21.316,C2,6.83002,3.45754,4.05754,3.84228,8314,42.33
55.18,-103.08,2017-09-12 01:19:00,NOAA,AVHRR,24.806,C2,8.02762,3.78718,4.43518,4.27772,10681,42.33
54.9,-102.48,2017-09-12 01:19:00,NOAA,AVHRR,20.192,C2,6.11852,3.47001,4.03001,3.86152,7397,42.33
54.88,-102.45,2017-09-12 01:19:00,NOAA,AVHRR,19.612,C2,5.99455,3.38886,3.94086,3.79416,7087,42.33
54.81,-102.53,2017-09-12 01:19:00,NOAA,AVHRR,21.153,C2,6.76213,3.44631,4.03831,3.83249,8192,42.33
50.64,-110.47,2017-09-12 01:19:00,NOAA,AVHRR,56.022,O1,33.2503,0.35,0.35,0.38702,3491,32.43
50.59,-110.7,2017-09-12 01:19:00,NOAA,AVHRR,54.225,O1,47.765,0.35,0.35,0.383027,5015,32.43
55.33,-102.75,2017-09-12 01:19:00,NOAA,AVHRR,17.511,O1,0.299484,0.35,0.35,0.282002,31,41.88
54.87,-102.39,2017-09-12 01:19:00,NOAA,AVHRR,18.648,C2,5.66503,3.29942,3.83542,3.72182,6518,42.33
55.17,-103.09,2017-09-12 01:19:00,NOAA,AVHRR,25.042,D1,0.273422,1.34573,1.34573,4.28772,110,32.47
54.86,-102.41,2017-09-12 01:19:00,NOAA,AVHRR,19.109,C2,5.83488,3.33757,3.88157,3.74792,6795,42.33
54.81,-102.58,2017-09-12 01:19:00,NOAA,AVHRR,22.036,C2,7.11386,3.51271,4.12071,3.88978,8794,42.33
