lat, lon, rep_date, source, sensor, ffmc, dmc, dc, ws, fwi, fuel, ros, sfc, tfc, bfc, hfi, estarea
54.82,-102.55,12/09/2017 1:19,NOAA,AVHRR,87.607,72.768,462.244,12.178,21.58,C2,6.88143,3.49554,4.09554,3.8747,8455,42.33
54.8,-102.5,12/09/2017 1:19,NOAA,AVHRR,87.488,69.111,450.122,12.032,20.743,C2,6.60116,3.41468,3.99868,3.80228,7919,42.33
54.81,-102.51,12/09/2017 1:19,NOAA,AVHRR,87.493,69.631,452.307,12.064,20.849,C2,6.63069,3.42698,4.01898,3.81537,7995,42.33
54.96,-102.73,12/09/2017 1:19,NOAA,AVHRR,87.72,83.565,502.815,12.796,23.603,C2,7.48954,3.71392,4.34592,4.11319,9765,42.33
54.8,-102.46,12/09/2017 1:19,NOAA,AVHRR,87.347,67.328,444.295,11.927,20.136,C2,6.34793,3.3736,3.9496,3.76726,7522,42.33
54.81,-102.47,12/09/2017 1:19,NOAA,AVHRR,87.351,69,449.452,11.959,20.382,C2,6.38974,3.4118,3.9878,3.79826,7644,42.33
54.82,-102.63,12/09/2017 1:19,NOAA,AVHRR,87.894,77.247,476.498,12.394,22.941,C2,7.45459,3.5878,4.2118,3.95916,9419,42.33
54.8,-102.54,12/09/2017 1:19,NOAA,AVHRR,87.628,70.821,455.795,12.137,21.348,C2,6.8626,3.45308,4.05308,3.83624,8344,42.33
55.2,-102.25,12/09/2017 1:19,NOAA,AVHRR,84.411,54.39,417.39,11.366,13.143,C2,3.30569,3.05383,3.38983,3.60383,3362,42.33
55.22,-102.12,12/09/2017 1:19,NOAA,AVHRR,83.86,51.044,399.132,11.001,11.801,C2,2.85956,2.94589,3.22589,3.49118,2767,42.33
55.18,-102.24,12/09/2017 1:19,NOAA,AVHRR,84.533,54.108,412.502,11.36,13.258,C2,3.37771,3.04132,3.38532,3.57381,3430,42.33
55.19,-102.21,12/09/2017 1:19,NOAA,AVHRR,84.359,53.188,412.266,11.266,12.868,C2,3.23585,3.0173,3.3453,3.57236,3247,42.33
54.91,-102.44,12/09/2017 1:19,NOAA,AVHRR,86.884,67.786,449.552,11.927,19.275,C2,5.79938,3.38847,3.93247,3.79886,6842,42.33
54.77,-102.61,12/09/2017 1:19,NOAA,AVHRR,87.859,74.902,467.252,12.298,22.49,C3,1.45917,3.26638,3.26638,3.90446,1430,42.33
54.86,-102.46,12/09/2017 1:19,NOAA,AVHRR,87.162,68.389,449.574,11.953,19.919,D1,0.207705,1.25535,1.25535,3.79899,78,32.47
54.81,-102.54,12/09/2017 1:19,NOAA,AVHRR,87.6,71.002,456.806,12.144,21.316,C2,6.83002,3.45754,4.05754,3.84228,8314,42.33
55.18,-103.08,12/09/2017 1:19,NOAA,AVHRR,87.605,86.711,531.373,14.035,24.806,C2,8.02762,3.78718,4.43518,4.27772,10681,42.33
54.9,-102.48,12/09/2017 1:19,NOAA,AVHRR,87.078,71.488,460.031,12.031,20.192,C2,6.11852,3.47001,4.03001,3.86152,7397,42.33
54.88,-102.45,12/09/2017 1:19,NOAA,AVHRR,87.047,67.85,448.77,11.938,19.612,C2,5.99455,3.38886,3.94086,3.79416,7087,42.33
54.81,-102.53,12/09/2017 1:19,NOAA,AVHRR,87.564,70.493,455.168,12.118,21.153,C2,6.76213,3.44631,4.03831,3.83249,8192,42.33
50.64,-110.47,12/09/2017 1:19,NOAA,AVHRR,93.263,146.968,762.197,19.125,56.022,O1,33.2503,0.35,0.35,0.38702,3491,32.43
50.59,-110.7,12/09/2017 1:19,NOAA,AVHRR,93.224,146.905,751.145,18.206,54.225,O1,47.765,0.35,0.35,0.383027,5015,32.43
55.33,-102.75,12/09/2017 1:19,NOAA,AVHRR,85.204,73.785,488.014,12.877,17.511,O1,0.299484,0.35,0.35,0.282002,31,41.88
54.87,-102.39,12/09/2017 1:19,NOAA,AVHRR,86.866,64.092,436.765,11.772,18.648,C2,5.66503,3.29942,3.83542,3.72182,6518,42.33
55.17,-103.09,12/09/2017 1:19,NOAA,AVHRR,87.661,87.704,533.122,14.041,25.042,D1,0.273422,1.34573,1.34573,4.28772,110,32.47
54.86,-102.41,12/09/2017 1:19,NOAA,AVHRR,86.978,65.706,441.085,11.82,19.109,C2,5.83488,3.33757,3.88157,3.74792,6795,42.33
54.81,-102.58,12/09/2017 1:19,NOAA,AVHRR,87.742,73.581,464.78,12.251,22.036,C2,7.11386,3.51271,4.12071,3.88978,8794,42.33
54.89,-102.43,12/09/2017 1:19,NOAA,AVHRR,86.932,67.025,446.433,11.889,19.242,C2,5.82773,3.37002,3.91402,3.78012,6843,42.33
54.95,-102.71,12/09/2017 1:19,NOAA,AVHRR,87.701,83.906,501.669,12.731,23.526,C2,7.43066,3.71776,4.34176,4.10653,9679,42.33
55.18,-102.23,12/09/2017 1:19,NOAA,AVHRR,84.497,53.666,414.985,11.328,13.155,C2,3.3441,3.03266,3.36866,3.58907,3380,42.33
55.19,-102.25,12/09/2017 1:19,NOAA,AVHRR,84.487,54.514,417.835,11.374,13.27,C2,3.35787,3.05748,3.39348,3.60655,3418,42.33
54.9,-102.45,12/09/2017 1:19,NOAA,AVHRR,86.965,68.287,450.763,11.949,19.512,C2,5.90789,3.39957,3.95157,3.80612,7004,42.33
55.18,-103.09,12/09/2017 1:19,NOAA,AVHRR,87.613,86.558,531.244,14.058,24.832,C1,0.636536,1.31344,1.31344,4.27699,251,42.33
55.36,-102.73,12/09/2017 1:19,NOAA,AVHRR,84.884,70.775,479.583,12.727,16.552,O1,0.344938,0.35,0.35,0.278534,36,41.88
50.63,-110.66,12/09/2017 1:19,NOAA,AVHRR,93.238,143.099,737.617,18.533,54.679,O1,39.852,0.35,0.35,0.378116,4184,32.43
50.63,-110.65,12/09/2017 1:19,NOAA,AVHRR,93.24,143.007,736.869,18.552,54.715,O1,36.5781,0.35,0.35,0.377844,3841,32.43
50.63,-110.63,12/09/2017 1:19,NOAA,AVHRR,93.243,143.053,739.181,18.594,54.81,O1,34.4538,0.35,0.35,0.378686,3618,32.43
50.64,-110.62,12/09/2017 1:19,NOAA,AVHRR,93.247,142.351,736.241,18.672,54.928,O1,39.0845,0.35,0.35,0.377615,4104,32.43
50.64,-110.61,12/09/2017 1:19,NOAA,AVHRR,93.248,142.262,735.483,18.692,54.962,O1,43.6042,0.35,0.35,0.377339,4578,32.43
50.64,-110.57,12/09/2017 1:19,NOAA,AVHRR,93.253,144.045,745.868,18.773,55.221,O1,32.5885,0.35,0.35,0.381115,3422,32.43
50.64,-110.56,12/09/2017 1:19,NOAA,AVHRR,93.255,143.906,749.496,18.793,55.27,O1,32.6317,0.35,0.35,0.38243,3426,32.43
50.64,-110.55,12/09/2017 1:19,NOAA,AVHRR,93.256,143.822,748.754,18.813,55.304,O1,33.7975,0.35,0.35,0.382161,3549,32.43
51.74,-95.03,12/09/2017 1:19,NOAA,AVHRR,90.606,28.567,389.727,8.326,17.044,O1,0.6881,0.35,0.35,0.240384,72,30.21
55.2,-102.14,12/09/2017 1:19,NOAA,AVHRR,84.062,51.647,401.857,11.071,12.168,C2,2.99391,2.96517,3.26117,3.50808,2929,42.33
