lat, lon, rep_date, source, sensor, fwi, fuel, ros, sfc, tfc, bfc, hfi, estarea
33.02,-79.89,2017-09-04 02:02:00,NOAA,AVHRR,8.237,bog,1.11817,0.1,0.1,1.25091,34,26.94
33.02,-79.88,2017-09-04 02:02:00,NOAA,AVHRR,8.197,M1,2.13311,0.728459,0.728459,1.25387,466,32.4
30.94,-88.02,2017-09-04 02:43:00,NOAA,AVHRR,7.191,C1,0.180911,1.33046,1.33046,0.796139,72,28.58
48.53,-113.92,2017-09-04 02:47:00,NOAA,AVHRR,37.659,C3,5.28705,4.5912,5.0972,4.64411,8085,28.58
49,-114.43,2017-09-04 02:47:00,NOAA,AVHRR,35.689,C3,4.22083,4.68166,5.01516,5.05768,6350,28.58
48.54,-113.93,2017-09-04 02:47:00,NOAA,AVHRR,37.908,C3,5.30071,4.66861,5.18611,4.83634,8247,28.58
48.55,-113.93,2017-09-04 02:47:00,NOAA,AVHRR,38.101,C3,5.29829,4.74734,5.26484,5.06881,8368,28.58
49.01,-114.44,2017-09-04 02:47:00,NOAA,AVHRR,35.693,D1,0.451633,1.47223,1.47223,5.09174,199,9.94
50.17,-115.38,2017-09-04 02:47:00,NOAA,AVHRR,34.55,C2,14.1386,4.05371,4.81371,4.5008,20418,11.67
49.9,-115.24,2017-09-04 02:47:00,NOAA,AVHRR,36.5,C2,15.2878,4.16452,4.94052,4.48999,22659,11.67
50.17,-115.37,2017-09-04 02:47:00,NOAA,AVHRR,32.451,C1,2.54765,1.44008,1.65008,4.16608,1261,11.67
50.25,-115.31,2017-09-04 02:47:00,NOAA,AVHRR,33.354,C2,12.3522,4.30097,5.04497,4.8694,18695,11.67
49.22,-114.93,2017-09-04 02:47:00,NOAA,AVHRR,40.434,C2,17.2177,4.66483,5.44883,5.17746,28145,11.67
50.24,-115.3,2017-09-04 02:47:00,NOAA,AVHRR,29.694,C2,11.8875,3.68621,4.42221,4.12058,15771,11.67
49.89,-115.31,2017-09-04 02:47:00,NOAA,AVHRR,39.017,C2,16.7256,4.34998,5.13398,4.82104,25761,11.67
49.21,-114.91,2017-09-04 02:47:00,NOAA,AVHRR,39.76,C3,6.33121,4.66024,5.30424,4.87323,10075,11.67
50.17,-115.3,2017-09-04 02:47:00,NOAA,AVHRR,35.991,C3,4.51259,4.55971,4.93921,5.20886,6687,11.67
49.03,-114.39,2017-09-04 02:47:00,NOAA,AVHRR,34.098,C3,3.72291,4.53049,4.74899,4.69837,5304,11.67
54.79,-102.67,2017-09-04 02:47:00,NOAA,AVHRR,15.509,C2,3.96166,3.32111,3.72911,3.75734,4432,42.33
54.77,-102.71,2017-09-04 02:47:00,NOAA,AVHRR,15.686,C2,4.03235,3.32876,3.74476,3.75841,4530,42.33
54.76,-102.68,2017-09-04 02:47:00,NOAA,AVHRR,15.484,C2,4.01835,3.28353,3.69153,3.71641,4450,42.33
54.77,-102.63,2017-09-04 02:47:00,NOAA,AVHRR,15.21,C2,3.94148,3.253,3.653,3.69595,4319,42.33
54.79,-102.62,2017-09-04 02:47:00,NOAA,AVHRR,15.195,C2,3.91287,3.26499,3.66499,3.70812,4302,42.33
54.78,-102.65,2017-09-04 02:47:00,NOAA,AVHRR,15.369,C2,3.9531,3.28877,3.69677,3.72849,4384,42.33
50.18,-115.31,2017-09-04 02:47:00,NOAA,AVHRR,35.88,C3,4.46402,4.55764,4.92564,5.20627,6596,11.67
54.8,-102.67,2017-09-04 02:47:00,NOAA,AVHRR,15.524,C2,3.95093,3.33104,3.73904,3.76629,4432,42.33
54.81,-102.65,2017-09-04 02:47:00,NOAA,AVHRR,15.444,C2,3.92969,3.32176,3.72176,3.75996,4388,42.33
54.78,-102.62,2017-09-04 02:47:00,NOAA,AVHRR,15.181,C2,3.92111,3.25659,3.65659,3.70145,4301,42.33
54.77,-102.69,2017-09-04 02:47:00,NOAA,AVHRR,15.549,C2,4.00363,3.30865,3.71665,3.74023,4464,42.33
54.78,-102.63,2017-09-04 02:47:00,NOAA,AVHRR,15.243,M1,2.06316,2.27783,2.27783,3.71053,1410,39.92
54.75,-102.68,2017-09-04 02:47:00,NOAA,AVHRR,15.48,M1,2.115,2.28277,2.28277,3.71231,1448,39.92
54.75,-102.66,2017-09-04 02:47:00,NOAA,AVHRR,15.381,M1,2.10666,2.27282,2.27282,3.69928,1436,39.92
54.76,-102.67,2017-09-04 02:47:00,NOAA,AVHRR,15.417,C2,4.00405,3.27371,3.68171,3.70805,4423,42.33
54.77,-102.64,2017-09-04 02:47:00,NOAA,AVHRR,15.274,D1,0.130427,1.22129,1.22129,3.70483,48,32.47
54.75,-102.65,2017-09-04 02:47:00,NOAA,AVHRR,15.314,M1,2.0999,2.26654,2.26654,3.69088,1428,39.92
54.8,-102.65,2017-09-04 02:47:00,NOAA,AVHRR,15.414,M1,2.06125,2.30513,2.30513,3.74985,1425,39.92
54.8,-102.68,2017-09-04 02:47:00,NOAA,AVHRR,15.575,C2,3.95889,3.34006,3.74806,3.77349,4451,42.33
54.78,-102.72,2017-09-04 02:47:00,NOAA,AVHRR,15.778,C2,4.02705,3.35601,3.77201,3.7862,4557,42.33
50.2,-115.33,2017-09-04 02:47:00,NOAA,AVHRR,31.119,C2,12.8154,3.73142,4.48342,4.11906,17237,11.67
49.05,-114.34,2017-09-04 02:47:00,NOAA,AVHRR,30.296,C2,11.3165,3.93282,4.66082,3.82055,15823,11.67
49.89,-115.3,2017-09-04 02:47:00,NOAA,AVHRR,38.925,C2,16.5983,4.36523,5.14123,4.84831,25601,11.67
49.87,-115.35,2017-09-04 02:47:00,NOAA,AVHRR,36.896,non_fuel,0,0,0,0,0,11.49
49.84,-115.32,2017-09-04 02:47:00,NOAA,AVHRR,37.64,D1,3.02047,1.38406,1.38406,4.22869,1254,9.94
49.88,-115.22,2017-09-04 02:47:00,NOAA,AVHRR,33.898,D1,0.522511,1.34696,1.34696,3.9991,211,9.94
49.89,-115.23,2017-09-04 02:47:00,NOAA,AVHRR,36.945,D1,0.53027,1.42687,1.42687,4.62007,227,9.94
49.86,-115.34,2017-09-04 02:47:00,NOAA,AVHRR,37.412,D1,0.603885,1.3781,1.3781,4.21085,250,9.94
49.1,-114.32,2017-09-04 02:47:00,NOAA,AVHRR,30.638,C2,10.5103,4.263,4.983,4.28175,15712,11.67
50.19,-115.32,2017-09-04 02:47:00,NOAA,AVHRR,33.212,C2,13.2465,4.01026,4.76226,4.43153,18925,11.67
49.06,-114.35,2017-09-04 02:47:00,NOAA,AVHRR,31.824,C2,11.4691,4.21779,4.95379,4.23293,17045,11.67
50.26,-115.32,2017-09-04 02:47:00,NOAA,AVHRR,32.365,C2,12.0827,4.14828,4.89228,4.63378,17734,11.67
49.88,-115.29,2017-09-04 02:47:00,NOAA,AVHRR,38.256,C2,16.425,4.25202,5.02802,4.63001,24776,11.67
54.79,-102.64,2017-09-04 02:47:00,NOAA,AVHRR,15.33,C2,3.93297,3.28958,3.68958,3.73024,4353,42.33
54.78,-102.7,2017-09-04 02:47:00,NOAA,AVHRR,15.652,C2,4.0005,3.33748,3.74548,3.76977,4495,42.33
47.94,-113.12,2017-09-04 02:47:00,NOAA,AVHRR,34.646,C3,4.92323,3.98256,4.36206,2.84655,6443,28.58
47.93,-113.1,2017-09-04 02:47:00,NOAA,AVHRR,33.832,C3,4.87702,3.8178,4.1628,2.62158,6091,28.58
41.48,-90.83,2017-09-04 02:47:00,NOAA,AVHRR,26.254,low_veg,2.32987,0.1,0.1,3.40414,70,9.31
30.94,-88.01,2017-09-04 02:47:00,NOAA,AVHRR,7.133,M1,1.73459,0.708493,0.708493,0.794275,369,32.4
33.65,-93.94,2017-09-04 02:47:00,NOAA,AVHRR,14.705,M1,3.22295,1.59374,1.59374,2.34841,1541,32.4
48.99,-114.42,2017-09-04 02:47:00,NOAA,AVHRR,36.21,C3,4.46357,4.67498,5.05448,5.03693,6768,28.58
47.93,-113.11,2017-09-04 02:47:00,NOAA,AVHRR,33.798,C3,4.88821,3.80543,4.15043,2.6256,6086,28.58
49.91,-115.25,2017-09-04 02:47:00,NOAA,AVHRR,32.755,D1,0.526895,1.30968,1.30968,3.85784,207,9.94
48.55,-113.87,2017-09-04 02:47:00,NOAA,AVHRR,37.746,C3,5.19376,4.68591,5.19191,4.82916,8090,28.58
