SPC,CASE,np,Intercept,slope,r,r2,FAC2,MB,ME,NMB,NME,RMSE,OBSERVED_Mean,OBSERVED_Min,OBSERVED_Max,MODELLED_Mean,MODELLED_Min,MODELLED_Max,OBSERVED_P_02,OBSERVED_P_10,OBSERVED_P_25,OBSERVED_P_50,OBSERVED_P_75,OBSERVED_P_90,OBSERVED_P_98,MODELLED_P_02,MODELLED_P_10,MODELLED_P_25,MODELLED_P_50,MODELLED_P_75,MODELLED_P_90,MODELLED_P_98
PM25,CFFEPS,13607,13.023576026465,2.74654970401306,0.410541269775121,0.168544134188569,0.338428749908136,40.1457911765735,47.2332655690228,2.58520992141499,3.04161166566126,145.269550996101,15.5290256485632,0.1,210.5,55.6748168251367,0,2681.96948242188,0.4,1.5,3.12,7.4,18.8,36.8,94,0.498590087890625,1.90784096717834,5.15172338485718,14.2519035339355,37.284610748291,131.882522583008,478.328411865234
PM25,FireWork,13607,10.5055525789759,0.675494678351445,0.394017033795059,0.155249422920657,0.390681266994929,5.466301116,17.3519531826216,0.35200541487326,1.11738840383891,35.815772534391,15.5290256485632,0.1,210.5,20.9953267645632,0,516.607177734375,0.4,1.5,3.12,7.4,18.8,36.8,94,0.299695041179657,1.16288738250732,3.35239160060882,9.28164768218994,22.8345003128051,49.3325813293457,124.396132507324
PM25,CFFEPS2,13607,13.932514662879,1.76991745877226,0.408457710985816,0.166837701663773,0.350628353053575,25.8885826274299,33.5963406739928,1.6671092709429,2.16345451635604,92.3593193593104,15.5290256485632,0.1,210.5,41.4176082759931,0,1853.32751464844,0.4,1.5,3.12,7.4,18.8,36.8,94,0.470916196107865,1.81890122890472,4.9665207862854,13.5363187789917,34.7660446166992,98.5132873535156,312.94234008789
